10
 
60 X Max
57 Y Max
0
0
Idx	E0	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	Elev
&
0	25	25	25	25	6	6	6	6	6	6	6	6	6	6	6	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	25	15	15	15	6	15	15	15	15	15	15	15	15	15	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	2	
3	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	2	3	3	4	2	3	3	4	2	3	3	4	2	3	3	4	
4	15	15	157	2	15	15	157	2	15	15	157	2	15	15	157	2	4	5	7	7	4	5	7	7	4	5	7	7	4	5	7	7	
5	2	2	2	0	15	15	2	2	2	15	2	2	2	2	2	2	7	7	7	8	7	7	7	8	7	7	7	8	7	7	8	8	
6	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	8	9	9	10	9	9	9	10	9	9	9	10	9	9	9	10	
7	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	10	10	10	11	10	10	10	11	10	10	10	11	10	10	10	11	
8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
10	0	0	0	21	0	0	0	21	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
11	0	0	0	0	21	0	0	0	21	0	0	0	21	21	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
13	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
17	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	12	11	11	11	11	11	11	11	11	
20	0	112	111	111	0	112	111	111	0	112	111	111	0	112	111	111	12	14	15	15	13	15	15	15	13	14	15	15	12	14	15	15	
21	111	111	112	0	111	111	112	0	111	112	112	0	111	112	0	19	15	15	14	12	15	15	14	12	15	14	13	12	15	14	12	11	
22	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
23	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
24	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
